index	u_check
0	1.672300991331738
1	-1.1520895218728142
2	-1.23517771472421
3	-0.2885016179192267
4	0.3692013314831051
5	0.43059772474095315
6	0.1886432411126654
7	-0.02480308112454821
8	-0.0890243175742435
9	-0.05238348704107726
10	-0.0007812343245204093
11	0.02155044762166064
12	0.01662000705480867
13	0.0037058332612535964
14	-0.003907026924910729
15	-0.0043203641507126665
16	-0.0015605496147983687
17	0.0006237450062228887
18	0.0011022049081071397
19	0.0005625633863984923
20	-3.136396170503881e-05
21	-0.0002504598490345822
22	-0.00017099219282292933
23	-2.3761194614543548e-05
24	5.217382979403164e-05
25	4.8159723651555126e-05
26	1.430099190205836e-05
27	-9.017900679266306e-06
28	-1.2437675628717364e-05
29	-5.485074431307857e-06
30	1.0199662649202039e-06
31	2.9818522667079146e-06
32	1.7817340003182691e-06
33	1.00441103284176e-07
34	-6.498676586472478e-07
35	-5.191177301296375e-07
36	-1.1800699094566286e-07
37	1.2412403386461915e-07
38	1.3935757446686078e-07
39	5.216368648820333e-08
40	-1.8224810130970132e-08
41	-3.461324811156269e-08
42	-1.80747228220186e-08
43	7.604691973183554e-10
44	7.905640311823954e-09
45	5.5113557727933e-09
46	8.448415897128045e-10
47	-1.6177227449201512e-09
48	-1.5342861061709015e-09
49	-4.721126615419933e-10
50	2.7595288125454427e-10
51	3.950246133836712e-10
52	1.786780707416825e-10
53	-2.8988559663052363e-11
54	-9.395394495447249e-11
55	-5.738869134543546e-11
56	-4.0679420568977086e-12
57	2.03274043804712e-11
58	1.6618412366239067e-11
59	3.97378447280368e-12
60	-3.828007297630906e-12
61	-4.433108619926659e-12
62	-1.7080243649134345e-12
63	5.441100058105769e-13
64	1.0947025361398582e-12
65	5.848085945572374e-13
66	-1.4334778778943256e-14
67	-2.4821343466338995e-13
68	-1.7691115901167017e-13
69	-2.9372007203271485e-14
70	5.027097954392376e-14
71	4.8946390232132156e-14
72	1.5605124198363924e-14
73	-8.402687390621299e-15
74	-1.2527886347016288e-14
75	-5.808364707263336e-15
76	8.150392415757237e-16
77	2.960498145835669e-15
78	1.848319146803924e-15
79	1.5763159193951656e-16
80	-6.350881605386239e-16
81	-5.316168601767724e-16
82	-1.332873315095688e-16
83	1.179164045034813e-16
84	1.4097760571186193e-16
85	5.586883985426927e-17
86	-1.6160754123144372e-17
87	-3.460219733436581e-17
88	-1.8906852571510292e-17
89	1.425989318332473e-19
90	7.788532376809324e-18
91	5.676029578677876e-18
92	1.0135595053651735e-18
93	-1.5604891902500901e-18
94	-1.5607448405428557e-18
95	-5.148662160338345e-19
96	2.5522194754221047e-19
97	3.9713277385988625e-19
98	1.8865278150162862e-19
99	-2.2502964789008563e-20
